date,meal,calories
2024-01-01,breakfast,705
2024-01-01,lunch,694
2024-01-01,dinner,211
2024-01-01,snack,232
2024-01-02,breakfast,700
2024-01-02,lunch,404
2024-01-02,dinner,899
2024-01-02,snack,925
2024-01-03,breakfast,518
2024-01-03,lunch,547
2024-01-03,dinner,526
2024-01-03,snack,981
2024-01-04,breakfast,279
2024-01-04,lunch,853
2024-01-04,dinner,441
2024-01-04,snack,283
2024-01-05,breakfast,938
2024-01-05,lunch,384
2024-01-05,dinner,368
2024-01-05,snack,398
2024-01-06,breakfast,990
2024-01-06,lunch,970
2024-01-06,dinner,977
2024-01-06,snack,693
2024-01-07,breakfast,678
2024-01-07,lunch,978
2024-01-07,dinner,721
2024-01-07,snack,833
2024-01-08,breakfast,252
2024-01-08,lunch,375
2024-01-08,dinner,862
2024-01-08,snack,458
2024-01-09,breakfast,808
2024-01-09,lunch,796
2024-01-09,dinner,482
2024-01-09,snack,780
2024-01-10,breakfast,769
2024-01-10,lunch,415
2024-01-10,dinner,806
2024-01-10,snack,393
2024-01-11,breakfast,878
2024-01-11,lunch,386
2024-01-11,dinner,974
2024-01-11,snack,685
2024-01-12,breakfast,599
2024-01-12,lunch,921
2024-01-12,dinner,427
2024-01-12,snack,671
2024-01-13,breakfast,343
2024-01-13,lunch,547
2024-01-13,dinner,601
2024-01-13,snack,686
2024-01-14,breakfast,483
2024-01-14,lunch,459
2024-01-14,dinner,421
2024-01-14,snack,410
2024-01-15,breakfast,373
2024-01-15,lunch,612
2024-01-15,dinner,860
2024-01-15,snack,306
2024-01-16,breakfast,206
2024-01-16,lunch,251
2024-01-16,dinner,909
2024-01-16,snack,403
2024-01-17,breakfast,204
2024-01-17,lunch,979
2024-01-17,dinner,690
2024-01-17,snack,512
2024-01-18,breakfast,302
2024-01-18,lunch,829
2024-01-18,dinner,759
2024-01-18,snack,564
2024-01-19,breakfast,917
2024-01-19,lunch,558
2024-01-19,dinner,698
2024-01-19,snack,211
2024-01-20,breakfast,969
2024-01-20,lunch,734
2024-01-20,dinner,931
2024-01-20,snack,266
2024-01-21,breakfast,303
2024-01-21,lunch,817
2024-01-21,dinner,629
2024-01-21,snack,310
2024-01-22,breakfast,219
2024-01-22,lunch,282
2024-01-22,dinner,910
2024-01-22,snack,436
2024-01-23,breakfast,950
2024-01-23,lunch,916
2024-01-23,dinner,289
2024-01-23,snack,969
2024-01-24,breakfast,771
2024-01-24,lunch,944
2024-01-24,dinner,403
2024-01-24,snack,499
2024-01-25,breakfast,419
2024-01-25,lunch,450
2024-01-25,dinner,773
2024-01-25,snack,533
2024-01-26,breakfast,203
2024-01-26,lunch,275
2024-01-26,dinner,771
2024-01-26,snack,589
2024-01-27,breakfast,551
2024-01-27,lunch,994
2024-01-27,dinner,264
2024-01-27,snack,222
2024-01-28,breakfast,874
2024-01-28,lunch,673
2024-01-28,dinner,789
2024-01-28,snack,978
2024-01-29,breakfast,838
2024-01-29,lunch,635
2024-01-29,dinner,600
2024-01-29,snack,676
2024-01-30,breakfast,539
2024-01-30,lunch,901
2024-01-30,dinner,369
2024-01-30,snack,350
